channel,rank,logo,watch_time_m,stream_time_m,peak_viewers,avg_viewers,followers,partnered,mature,language,url,t_subs,start,income,stream_time_h/m
mechachoi,100,https://static-cdn.jtvnw.net/jtv_user_pictures/3f65eb436cb0b2cb-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100,5519145,5025,8118,1098,10592,TRUE,FALSE,English,https://www.twitch.tv/mechachoi/about,10,"Aug 31, 2015",25,27.92
a_couple_streams,102,https://static-cdn.jtvnw.net/jtv_user_pictures/50a52b22-df5c-4b95-8064-169baeae792c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5451990,4785,5482,1139,168329,TRUE,FALSE,English,https://www.twitch.tv/a_couple_streams/about,4200,"Feb 26, 2015",10500,26.58
Sardoche,105,https://static-cdn.jtvnw.net/jtv_user_pictures/2b1b9e13-5b9f-41ee-b375-54d3c6491bb2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5298570,2445,4257,2167,1200337,TRUE,FALSE,French,https://www.twitch.tv/Sardoche/about,1003,"Oct 28, 2013",2507.5,13.58
annelle,106,https://static-cdn.jtvnw.net/jtv_user_pictures/77d91830-7201-44d1-b088-29fbb0a7b969-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5280495,8070,3142,654,46568,TRUE,FALSE,English,https://www.twitch.tv/annelle/about,2,"Jan 15, 2017",5,44.83
suuN,107,https://static-cdn.jtvnw.net/jtv_user_pictures/67a6e62e-dae7-485a-a6a8-b646978b0cb4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5250480,19245,4008,273,8664,TRUE,FALSE,German,https://www.twitch.tv/suuN/about,377,"Jun 14, 2014",942.5,106.92
JonathanOng,110,https://static-cdn.jtvnw.net/jtv_user_pictures/a5c1a4d5ce734700-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5100330,13020,3551,392,71064,TRUE,FALSE,English,https://www.twitch.tv/JonathanOng/about,398,"May 13, 2017",995,72.33
veryhandsomebilly,111,https://static-cdn.jtvnw.net/jtv_user_pictures/e2962fb8-86d3-4c05-9cd4-c7bb62266992-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5045325,11355,3663,444,39770,TRUE,FALSE,English,https://www.twitch.tv/veryhandsomebilly/about,284,"Jun 11, 2019",710,63.08
AngelVivaldi,113,https://static-cdn.jtvnw.net/jtv_user_pictures/b6d3a14d-f5f4-4d8b-8417-f6b39bfe6940-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,5017845,11265,5787,445,6592,TRUE,TRUE,English,https://www.twitch.tv/AngelVivaldi/about,211,"Dec 28, 2018",527.5,62.58
Daisy_Music,115,https://static-cdn.jtvnw.net/jtv_user_pictures/37e381e5-1746-4110-abd6-5742347918ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4998600,5025,15385,995,14527,TRUE,FALSE,English,https://www.twitch.tv/Daisy_Music/about,250,"Jan 8, 2018",625,27.92
taucher66,117,https://static-cdn.jtvnw.net/jtv_user_pictures/da6c9441-cf8b-432f-9877-f30012ffc2a2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4980075,30870,286,161,7342,TRUE,TRUE,English,https://www.twitch.tv/taucher66/about,122,"May 8, 2020",305,171.50
MikeLeonShreds,118,https://static-cdn.jtvnw.net/jtv_user_pictures/3e2738d4-32e9-4158-9141-941ed39996ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4965930,10110,14051,491,8072,TRUE,FALSE,English,https://www.twitch.tv/MikeLeonShreds/about,614,"Apr 12, 2020",1535,56.17
DEEJAYFAMILY,119,https://static-cdn.jtvnw.net/jtv_user_pictures/e460319c-0b00-448c-bc32-e23045254604-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4935900,23175,2424,213,8138,FALSE,TRUE,German,https://www.twitch.tv/DEEJAYFAMILY/about,192,"Jun 14, 2020",480,128.75
ThessFischer,120,https://static-cdn.jtvnw.net/jtv_user_pictures/f21efd06-e431-4f68-8247-b961dc034f8c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4929465,8535,5147,578,44572,TRUE,FALSE,English,https://www.twitch.tv/ThessFischer/about,792,"Mar 20, 2020",1980,47.42
Maya,121,https://static-cdn.jtvnw.net/jtv_user_pictures/c2e5a2be-8072-40d0-a1cf-8bb2a47ff0a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4910070,1095,7550,4484,595455,TRUE,FALSE,English,https://www.twitch.tv/Maya/about,1908,"Jul 2, 2018",4770,6.08
montebooker,122,https://static-cdn.jtvnw.net/jtv_user_pictures/054d9f33-4699-4238-8a59-553e06f30b04-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100,4894065,5925,5600,826,23087,TRUE,FALSE,English,https://www.twitch.tv/montebooker/about,558,"Jan 10, 2016",1395,32.92
